sample,library,date,fastq_R1,notes
RSV-F-LibA-250718-NoAntibody,RSV-F-LibA,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibA-250718-NoAb_S7_R1_001.fastq.gz,
RSV-F-LibA-250718-NirFab-1,RSV-F-LibA,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibA-250718-NirFab-1_S8_R1_001.fastq.gz,
RSV-F-LibA-250718-NirFab-2,RSV-F-LibA,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibA-250718-NirFab-2_S9_R1_001.fastq.gz,
RSV-F-LibA-250718-NirFab-3,RSV-F-LibA,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibA-250718-NirFab-3_S10_R1_001.fastq.gz,
RSV-F-LibA-250718-NirFab-4,RSV-F-LibA,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibA-250718-NirFab-4_S11_R1_001.fastq.gz,
RSV-F-LibB-250718-NoAntibody,RSV-F-LibB,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250718-NoAb_S12_R1_001.fastq.gz,
RSV-F-LibB-250718-Suptav-1,RSV-F-LibB,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250718-Supt-1_S13_R1_001.fastq.gz,
RSV-F-LibB-250718-Suptav-2,RSV-F-LibB,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250718-Supt-2_S14_R1_001.fastq.gz,
RSV-F-LibB-250718-Suptav-3,RSV-F-LibB,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250718-Supt-3_S15_R1_001.fastq.gz,
RSV-F-LibB-250718-Suptav-4,RSV-F-LibB,20250718,/shared/ngs/illumina/lkampman/250723_VH00699_575_AACTYVMHV/Unaligned/Project_lkampman/RSVF-LibB-250718-Supt-4_S16_R1_001.fastq.gz,
